# x y z dish_dia station
-2112065.261576 -3705356.502894 4726813.649034 25 BR
-1324009.374466 -5332181.952906 3231962.377936 25 FD
1446374.806874  -4447939.68308  4322306.19968  25 HN
-1995678.891541 -5037317.693848 3357328.002045 25 KP
-1449752.637707 -4975298.573645 3709123.828301 25 LA
-5464075.238656 -2495247.871441 2148297.485741 25 MK
-130872.556729  -4762317.087045 4226850.993404 25 NL
-2409150.471188 -4478573.093114 3838617.326057 25 OV
-1640953.992891 -5014816.024485 3575411.772132 25 PT
2607848.664542  -5488069.500452 1932739.778597 25 SC
